期号,开奖日期,红球,蓝球
2023056,2023-05-18(四),08 14 15 18 23 33,08
2023055,2023-05-16(二),03 04 20 23 27 32,13
2023054,2023-05-14(日),05 06 09 10 15 26,12
2023053,2023-05-11(四),01 07 14 20 27 30,15
2023052,2023-05-09(二),03 04 05 08 12 17,06
2023051,2023-05-07(日),22 26 29 30 32 33,14
2023050,2023-05-04(四),02 07 09 14 22 23,05
2023049,2023-05-02(二),05 07 14 23 25 27,02
2023048,2023-04-30(日),02 03 10 24 28 30,08
2023047,2023-04-27(四),05 07 14 23 31 33,07
2023046,2023-04-25(二),06 08 17 25 26 28,03
2023045,2023-04-23(日),03 06 12 21 27 28,04
2023044,2023-04-20(四),02 08 15 22 24 26,16
2023043,2023-04-18(二),05 08 12 20 24 28,10
2023042,2023-04-16(日),10 17 20 23 27 30,10
2023041,2023-04-13(四),01 06 12 13 15 24,06
2023040,2023-04-11(二),09 16 17 24 29 31,08
2023039,2023-04-09(日),02 03 09 13 19 28,09
2023038,2023-04-06(四),02 09 14 17 31 33,08
2023037,2023-04-04(二),08 23 25 26 29 31,12
2023036,2023-04-02(日),13 14 18 19 24 30,09
2023035,2023-03-30(四),01 04 09 10 20 33,06
2023034,2023-03-28(二),02 03 09 11 12 17,15
2023033,2023-03-26(日),08 09 13 23 24 26,05
2023032,2023-03-23(四),06 19 20 26 28 33,01
2023031,2023-03-21(二),07 14 27 29 31 33,05
2023030,2023-03-19(日),02 03 07 16 30 31,06
2023029,2023-03-16(四),03 07 12 24 28 33,08
2023028,2023-03-14(二),05 07 10 17 20 22,14
2023027,2023-03-12(日),08 10 22 27 32 33,08
2023026,2023-03-09(四),01 18 26 30 31 33,03
2023025,2023-03-07(二),04 16 20 21 31 32,14
2023024,2023-03-05(日),03 06 09 17 27 28,03
2023023,2023-03-02(四),05 08 10 15 24 25,09
2023022,2023-02-28(二),10 11 18 19 23 31,03
2023021,2023-02-26(日),02 05 06 19 21 27,04
2023020,2023-02-23(四),01 12 17 18 26 27,05
2023019,2023-02-21(二),06 12 26 28 29 32,15
2023018,2023-02-19(日),10 12 17 19 25 31,13
2023017,2023-02-16(四),05 11 18 20 26 28,12
2023016,2023-02-14(二),14 16 19 23 28 30,03
2023015,2023-02-12(日),02 03 14 21 29 32,08
2023014,2023-02-09(四),06 07 18 23 27 30,05
2023013,2023-02-07(二),06 10 14 22 23 33,13
2023012,2023-02-05(日),03 04 07 22 26 30,06
2023011,2023-02-02(四),06 07 16 17 21 22,04
2023010,2023-01-31(二),04 05 13 18 27 29,12
2023009,2023-01-29(日),03 04 19 23 30 32,06
2023008,2023-01-17(二),05 13 18 20 26 28,06
2023007,2023-01-15(日),05 06 09 22 25 31,03
2023006,2023-01-12(四),02 10 12 14 24 26,05
2023005,2023-01-10(二),02 06 08 13 14 19,16
2023004,2023-01-08(日),01 07 15 16 20 25,16
2023003,2023-01-05(四),05 08 18 25 30 32,06
2023002,2023-01-03(二),02 06 10 16 18 22,13
2023001,2023-01-01(日),09 16 18 22 28 32,02
2022150,2022-12-29(四),01 07 11 12 22 28,05
2022149,2022-12-27(二),02 22 26 29 32 33,14
2022148,2022-12-25(日),02 15 16 17 21 31,14
2022147,2022-12-22(四),02 03 07 13 20 30,10
2022146,2022-12-20(二),06 07 13 18 26 31,06
2022145,2022-12-18(日),03 21 25 30 31 33,11
2022144,2022-12-15(四),07 20 22 23 31 32,05
2022143,2022-12-13(二),07 08 13 29 30 33,03
2022142,2022-12-11(日),01 03 13 16 21 27,03
2022141,2022-12-08(四),05 12 13 17 20 27,14
2022140,2022-12-06(二),08 09 18 19 20 27,15
2022139,2022-12-04(日),06 07 09 16 17 19,14
2022138,2022-12-01(四),02 14 19 21 25 28,11
2022137,2022-11-29(二),08 21 23 27 28 33,01
2022136,2022-11-27(日),08 10 14 15 18 22,08
2022135,2022-11-24(四),09 11 13 24 28 32,06
2022134,2022-11-22(二),01 05 14 17 24 31,14
2022133,2022-11-20(日),05 08 16 17 21 25,12
2022132,2022-11-17(四),01 03 18 26 32 33,04
2022131,2022-11-15(二),03 05 10 13 19 29,06
2022130,2022-11-13(日),02 08 15 17 26 28,12
2022129,2022-11-10(四),10 12 14 22 24 27,07
2022128,2022-11-08(二),03 12 18 24 27 29,01
2022127,2022-11-06(日),03 04 09 10 29 33,13
2022126,2022-11-03(四),01 13 15 17 26 33,13
2022125,2022-11-01(二),02 03 07 12 20 31,16
2022124,2022-10-30(日),05 10 13 18 24 26,01
2022123,2022-10-27(四),10 13 16 20 21 25,05
2022122,2022-10-25(二),06 08 17 19 24 28,05
2022121,2022-10-23(日),12 17 22 27 30 31,02
2022120,2022-10-20(四),02 15 19 26 27 29,02
2022119,2022-10-18(二),02 05 15 18 26 27,04
2022118,2022-10-16(日),02 06 07 11 14 33,08
2022117,2022-10-13(四),04 13 17 18 28 29,06
2022116,2022-10-11(二),08 14 26 27 30 33,01
2022115,2022-10-09(日),06 07 18 20 27 29,09
2022114,2022-10-06(四),01 05 15 19 26 29,13
2022113,2022-09-29(四),13 14 20 24 27 29,02
2022112,2022-09-27(二),03 05 08 17 25 31,01
2022111,2022-09-25(日),02 10 11 13 28 31,01
2022110,2022-09-22(四),09 13 15 18 20 28,15
2022109,2022-09-20(二),04 11 13 19 22 33,11
2022108,2022-09-18(日),01 07 13 17 18 31,15
2022107,2022-09-15(四),03 09 11 15 19 28,16
2022106,2022-09-13(二),17 20 22 23 24 31,01
2022105,2022-09-11(日),06 12 13 15 21 23,15
2022104,2022-09-08(四),01 08 19 25 26 31,01
2022103,2022-09-06(二),06 09 12 14 20 28,10
2022102,2022-09-04(日),09 10 12 18 29 32,14
2022101,2022-09-01(四),04 16 18 19 27 28,04
2022100,2022-08-30(二),02 06 07 15 20 21,15
2022099,2022-08-28(日),01 11 23 24 26 32,15
2022098,2022-08-25(四),02 03 04 06 21 33,05
2022097,2022-08-23(二),04 05 10 13 30 31,14
2022096,2022-08-21(日),03 16 17 19 25 33,07
2022095,2022-08-18(四),04 13 14 18 20 28,08
2022094,2022-08-16(二),06 11 13 16 19 31,02
2022093,2022-08-14(日),21 22 24 28 29 32,14
2022092,2022-08-11(四),07 10 16 20 21 27,11
2022091,2022-08-09(二),08 18 20 22 24 28,10
2022090,2022-08-07(日),01 04 25 27 29 30,07
2022089,2022-08-04(四),02 07 15 29 31 33,15
2022088,2022-08-02(二),03 09 15 17 20 22,06
2022087,2022-07-31(日),05 06 09 13 23 25,08
2022086,2022-07-28(四),01 04 08 21 23 24,11
2022085,2022-07-26(二),07 09 14 31 32 33,13
2022084,2022-07-24(日),03 18 23 24 25 32,09
2022083,2022-07-21(四),08 12 13 14 19 20,05
2022082,2022-07-19(二),04 10 11 23 30 32,14
2022081,2022-07-17(日),04 08 11 21 27 30,01
2022080,2022-07-14(四),05 12 15 17 18 27,04
2022079,2022-07-12(二),01 09 15 17 22 23,16
2022078,2022-07-10(日),01 04 05 15 17 31,09
2022077,2022-07-07(四),03 17 18 19 20 27,16
2022076,2022-07-05(二),08 09 10 13 24 29,02
2022075,2022-07-03(日),01 02 04 25 26 30,10
2022074,2022-06-30(四),05 07 15 19 29 33,15
2022073,2022-06-28(二),06 10 14 15 26 29,12
2022072,2022-06-26(日),05 14 15 16 18 32,12
2022071,2022-06-23(四),04 07 15 18 29 33,01
2022070,2022-06-21(二),04 06 09 27 28 33,02
2022069,2022-06-19(日),06 07 13 19 26 29,08
2022068,2022-06-16(四),07 12 15 24 26 29,06
2022067,2022-06-14(二),01 05 13 21 26 29,15
2022066,2022-06-12(日),06 11 14 20 27 30,09
2022065,2022-06-09(四),09 14 18 23 28 31,02
2022064,2022-06-07(二),04 06 12 13 17 31,16
2022063,2022-06-05(日),06 08 09 17 22 31,11
2022062,2022-06-02(四),16 18 20 21 23 33,05
2022061,2022-05-31(二),01 03 16 18 29 33,06
2022060,2022-05-29(日),16 18 19 24 28 32,01
2022059,2022-05-26(四),06 09 18 19 29 33,06
2022058,2022-05-24(二),06 13 14 23 31 33,01
2022057,2022-05-22(日),12 15 20 26 30 33,16
2022056,2022-05-19(四),01 06 11 14 17 26,15
2022055,2022-05-17(二),02 04 09 26 28 33,03
2022054,2022-05-15(日),08 12 21 27 28 33,11
2022053,2022-05-12(四),10 14 18 23 27 33,15
2022052,2022-05-10(二),07 24 27 29 31 32,15
2022051,2022-05-08(日),02 05 11 17 21 33,01
2022050,2022-05-05(四),03 05 08 14 27 33,08
2022049,2022-05-03(二),02 04 07 18 25 26,10
2022048,2022-05-01(日),05 07 17 20 26 31,14
2022047,2022-04-28(四),03 07 08 14 27 30,09
2022046,2022-04-26(二),02 11 24 25 27 30,14
2022045,2022-04-24(日),03 12 17 18 19 28,04
2022044,2022-04-21(四),01 07 08 21 23 29,06
2022043,2022-04-19(二),02 17 20 23 25 27,08
2022042,2022-04-17(日),05 10 11 21 22 30,13
2022041,2022-04-14(四),05 07 21 22 24 29,14
2022040,2022-04-12(二),03 12 14 16 31 33,12
2022039,2022-04-10(日),02 06 07 10 15 20,05
2022038,2022-04-07(四),09 12 13 16 24 32,04
2022037,2022-04-05(二),01 10 13 20 22 32,14
2022036,2022-04-03(日),02 03 14 16 26 31,02
2022035,2022-03-31(四),08 12 13 19 23 25,15
2022034,2022-03-29(二),14 17 26 31 32 33,10
2022033,2022-03-27(日),05 12 19 22 25 26,05
2022032,2022-03-24(四),04 10 11 14 23 32,07
2022031,2022-03-22(二),01 10 11 22 26 32,07
2022030,2022-03-20(日),12 23 24 26 27 30,05
2022029,2022-03-17(四),03 08 10 13 26 32,08
2022028,2022-03-15(二),05 11 20 22 23 29,09
2022027,2022-03-13(日),14 15 18 19 26 32,09
2022026,2022-03-10(四),03 04 10 15 22 24,02
2022025,2022-03-08(二),06 19 24 25 28 32,04
2022024,2022-03-06(日),07 09 10 14 19 24,15
2022023,2022-03-03(四),07 12 17 19 24 25,02
2022022,2022-03-01(二),01 07 11 15 17 19,06
2022021,2022-02-27(日),03 07 22 24 26 31,14
2022020,2022-02-24(四),09 11 14 22 30 32,01
2022019,2022-02-22(二),05 06 14 20 21 25,08
2022018,2022-02-20(日),07 11 16 17 30 32,16
